idx	X	Y	component
0	1000	42163.25646991996	0
1	1012.639987271243	42217.36123493482	0
2	1012.63996537881	42217.36120354353	0
3	1012.864091583309	42219.33097067621	0
4	1012.639614596214	42217.36105579411	0
5	1012.863171999816	42219.33076383051	0
6	1012.863427221615	42219.33087177201	0
7	1126.571566778752	42300.45562986794	0
8	1126.572335340643	42300.45568995384	0
9	1126.594311747576	42299.46585356457	0
10	1126.571373846476	42300.45557396383	0
11	1126.5955386149	42299.46605357333	0
12	1126.595628059578	42299.46605017257	0
13	1962.286015377271	42676.33628640803	0
14	1962.286139502197	42676.33636761728	0
15	1963.265132306682	42676.42257077125	0
16	1962.286370226517	42676.33608723622	0
17	1963.26883594328	42676.42279768197	0
18	1963.269046790352	42676.42282323356	0
19	2034.243731108822	42680.51864356008	0
20	2034.243732462965	42680.51864022939	0
21	2034.959806245504	42681.15769229042	0
22	2034.248821586836	42680.52024711093	0
23	2034.993171078386	42681.16407943089	0
24	2034.992969159539	42681.16401959933	0
25	2568.8546573473	42780.92467781596	0
26	2568.855994600592	42780.92475335515	0
27	2569.580022476883	42781.67384837905	0
28	2568.855908698468	42780.92540968061	0
29	2569.581209069678	42781.67295590587	0
30	2569.581304561623	42781.67282583498	0
31	2576.784359870551	42782.86564597422	0
32	2576.785661281901	42782.86574344151	0
33	2577.687069186723	42783.08090219014	0
34	2576.784351107577	42782.86570542575	0
35	2577.688291654449	42783.08206111302	0
36	2577.687861440929	42783.08122889551	0
37	4546.287374179556	43729.85186338337	0
38	4546.287583266065	43729.8518767361	0
39	4546.374294988484	43729.89512778129	0
40	4546.379445779756	43729.89772009182	0
41	5038.152077455677	44069.40911700443	0
42	5038.156430790179	44069.41766467594	0
43	5039.101772075279	44069.20175240438	0
44	5038.152565582393	44069.40937639434	0
45	5039.123257485808	44069.1959445262	0
46	5039.124015803194	44069.19628444836	0
47	5683.921948901479	44288.40510950459	0
48	5683.922716954752	44288.40567608026	0
49	5684.940061354922	44288.45962072116	0
50	5683.922071496563	44288.40518245489	0
51	5684.941605949069	44288.45893788669	0
52	5684.941422515636	44288.45886653644	0
53	5811.33007723208	44318.0465087933	0
54	5811.310365139208	44318.08562264696	0
55	5812.368735374046	44318.14989477466	0
56	5811.330356145118	44318.04662068179	0
57	5812.369724112177	44318.1480543338	0
58	5812.370272395325	44318.14767974236	0
59	5861.119169475052	44314.69424404456	0
60	5861.111365044271	44314.70370901319	0
61	5862.106472404012	44314.50774226925	0
62	5861.119278792852	44314.69426248031	0
63	5862.109414001243	44314.49635136109	0
64	5862.109414004917	44314.49635136111	0
65	5930.891924766373	44297.89649862196	0
66	5930.892859711712	44297.89621393586	0
67	5931.762008275029	44297.42934613288	0
68	5930.892094221774	44297.89642789724	0
69	5931.763738746435	44297.43043456884	0
70	5931.761990744002	44297.42931791261	0
71	5946.859139449494	44293.08103121693	0
72	5946.859282359874	44293.08097754607	0
73	5947.897719799606	44293.06047091448	0
74	5946.845803481105	44293.08062960698	0
75	5947.896504171076	44293.06090261298	0
76	5947.898184888698	44293.060496151	0
77	6073.699580287372	44249.57362730638	0
78	6073.699487919032	44249.57379796544	0
79	6074.502814064152	44248.87081974938	0
80	6073.706929063352	44249.57480410232	0
81	6074.523113859577	44248.89247146986	0
82	6074.52360632833	44248.89246574829	0
83	6163.578855138767	44232.22779508861	0
84	6163.545786681556	44232.2084410786	0
85	6164.50852439196	44231.94720302509	0
86	6163.578830058002	44232.22774216962	0
87	6164.587769601931	44232.06719888245	0
88	6164.587944718725	44232.0671060157	0
89	6166.570179118185	44231.73185026694	0
90	6166.545332566682	44231.67226016141	0
91	6167.598365141086	44231.55202934465	0
92	6166.570273467885	44231.73182924902	0
93	6167.600332750531	44231.5534543874	0
94	6167.600367490035	44231.55346425329	0
95	6181.813498563897	44229.37008200359	0
96	6181.803354356969	44229.35404802593	0
97	6182.950405018077	44229.32052652622	0
98	6181.813524384037	44229.37009062363	0
99	6182.93354326822	44229.34951735062	0
100	6182.933852833099	44229.34949825906	0
101	6256.621917587392	44224.97098330106	0
102	6256.622302298587	44224.97059872813	0
103	6257.618225036465	44225.09282768175	0
104	6256.622023417542	44224.97097262705	0
105	6257.620704913897	44225.09945160435	0
106	6257.617645447732	44225.09293735602	0
107	6259.813302833798	44225.08266892655	0
108	6259.818848523246	44225.08056306198	0
109	6260.693124657832	44225.58557702198	0
110	6259.814318351666	44225.08277372574	0
111	6260.693196681787	44225.5886961397	0
112	6260.693646818341	44225.5887836762	0
113	6904.806708387703	44460.34099729582	0
114	6904.806915153044	44460.34100675615	0
115	6905.649457611988	44460.7514800145	0
116	6904.804938002882	44460.34060861123	0
117	6905.624568500483	44460.75210701605	0
118	6905.650050105338	44460.75166071093	0
119	6951.123849929747	44466.05466734285	0
120	6951.124050899765	44466.05474152643	0
121	6952.106452906221	44466.28801393085	0
122	6951.122010524399	44466.05492229214	0
123	6952.105755770703	44466.2881711486	0
124	6952.106320852283	44466.28799433231	0
125	6957.299374392089	44466.23944876277	0
126	6957.299351286398	44466.23945401265	0
127	6958.304841520905	44466.01852796069	0
128	6957.2991541191	44466.23915754437	0
129	6958.302420128595	44466.01842858228	0
130	6958.304851228517	44466.01852496817	0
131	6963.4735517394	44465.4196698894	0
132	6963.473628652027	44465.41965131215	0
133	6964.515268008021	44465.26128202956	0
134	6963.473501850262	44465.41969117506	0
135	6964.505619018142	44465.29230518531	0
136	6964.513880791441	44465.29188542059	0
137	6966.611116511507	44465.26804401965	0
138	6966.610931999217	44465.26807909313	0
139	6967.668015675357	44465.06018499909	0
140	6966.642285557835	44465.26917483811	0
141	6967.66289482492	44465.06209499719	0
142	6967.663460408701	44465.0620021975	0
143	6969.75953376777	44465.25606821955	0
144	6969.739345538095	44465.25502370008	0
145	6970.833761835929	44465.18325693979	0
146	6969.759513831734	44465.25606664737	0
147	6970.834567074322	44465.18326958697	0
148	6970.834619010042	44465.18327892639	0
149	6982.336444037202	44464.30091021409	0
150	6982.339191275183	44464.2914114289	0
151	6983.273743640675	44464.5546570385	0
152	6982.337043391795	44464.30093543537	0
153	6983.276672093562	44464.55498672259	0
154	6983.276790645723	44464.5549868141	0
155	7001.108849284152	44463.47113810964	0
156	7001.106010322699	44463.4710931191	0
157	7002.102932170616	44463.43654609861	0
158	7001.109087586061	44463.47106830383	0
159	7002.104177462999	44463.43667511469	0
160	7002.104102610261	44463.43671985353	0
161	7026.162488983202	44461.5721658719	0
162	7026.161873858167	44461.56828999749	0
163	7027.187083634526	44461.39086952711	0
164	7026.162107158154	44461.57222124419	0
165	7027.195020178653	44461.4111265489	0
166	7027.194981113549	44461.4110215726	0
167	7045.005805692133	44461.85295974491	0
168	7045.007613835885	44461.85282863282	0
169	7045.954511932534	44461.6221414955	0
170	7045.157986098871	44462.2455053779	0
171	7045.954648407947	44461.62228142343	0
172	7045.954697723668	44461.62226943434	0
173	7144.915663488697	44466.29332342199	0
174	7144.913033761848	44466.27953686909	0
175	7145.882810289819	44466.73311529007	0
176	7144.915791499894	44466.29319127209	0
177	7145.875695435323	44466.73329642015	0
178	7145.875813373765	44466.7333684917	0
179	7157.173201845777	44468.32683195176	0
180	7157.176153596796	44468.32282292577	0
181	7158.103435431229	44468.77110018366	0
182	7157.173313983461	44468.32682897398	0
183	7158.111383961827	44468.76877529776	0
184	7158.111434926002	44468.76876899314	0
185	7166.32838915816	44469.89215365771	0
186	7166.328205183221	44469.88940282389	0
187	7167.374569536412	44469.90931177422	0
188	7166.32815853817	44469.89214569213	0
189	7167.371870817682	44469.91064826562	0
190	7167.371627181019	44469.91064307978	0
191	7181.756870382487	44470.87070352362	0
192	7181.854012918811	44470.64554127547	0
193	7182.673447829358	44470.76157793547	0
194	7181.757342677258	44470.87072121082	0
195	7182.69979620252	44470.80329089569	0
196	7182.700852824346	44470.80324254649	0
197	7320.442989366136	44525.10460749052	0
198	7320.442778208322	44525.10455264954	0
199	7322.337952446083	44525.94729524852	0
200	7320.44404280225	44525.10497961881	0
201	7322.331202385481	44525.95483606657	0
202	7322.332052110913	44525.95498679303	0
203	7326.242473006474	44527.32523824802	0
204	7326.248157083763	44527.34407518168	0
205	7327.111857348114	44527.71532843523	0
206	7326.242475000516	44527.32523827899	0
207	7327.11365298646	44527.71592383886	0
208	7327.114704418054	44527.71626811213	0
209	7655.179250980043	44613.5910043683	0
210	7655.179537689197	44613.59107490618	0
211	7656.085435618465	44614.06547482213	0
212	7655.180193020708	44613.59044465257	0
213	7656.081851015013	44614.0615235311	0
